IDUsuario;Genero;Edad
7208;M;36-50
7214;M;51-65
7226;M;36-50
7228;F;36-50
7235;M;>65
7242;M;36-50
7245;F;36-50
7247;F;36-50
7256;M;51-65
7261;M;36-50
7268;M;51-65
7280;M;36-50
7289;M;36-50
7292;M;51-65
7299;M;51-65
7300;F;26-35
7301;F;51-65
7303;M;26-35
7308;M;26-35
7312;M;51-65
7316;M;51-65
7330;F;26-35
7343;M;>65
7346;F;36-50
7348;M;36-50
7352;M;51-65
7360;M;36-50
7362;F;36-50
7367;F;51-65
7374;M;36-50
7384;M;36-50
7391;F;51-65
7392;F;51-65
7394;F;51-65
7400;M;36-50
7416;F;36-50
7423;M;26-35
7427;F;36-50
7432;F;36-50
7443;M;51-65
7448;F;>65
